,Date,Mérydes,Type de Bonus,Bonus,Offrandes,Quantité Offrandes,Kamas
,1 janvier 2024,Mazic,Bonus : Jour de l'an,"Onome attend les aventuriers qui veulent célébrer la nouvelle année près du temple de Xélor. Sa bénédiction accorde un sortilège temporaire, le bond du Début-Temps, que vous serez capable de lancer durant 12 heures.",Métronome du Début-Temps,1,8400
,2 janvier 2024,Arouz,Bonus : Économie d'ingrédients,Les Paysans économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Michette,4,395
,3 janvier 2024,Orage,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Tempête de l'Eliocalypse.,Capuche d'Armécréante,1,21990
,4 janvier 2024,Thomahon,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone des Larmes d'Ouronigride.,Cœur de Crapeur,3,16140
,5 janvier 2024,Ling,Bonus : Récolte abondante,Les quantités de Frostiz récupérées par les Paysans sont augmentées de 200 %.,Frostiz,10,10995
,6 janvier 2024,Sebklav,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui près de l'atelier des paysans du village d'Amakna. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Poils de Barbe du Grand Pa Wabbit,6,2111
,7 janvier 2024,Yvad,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Gadouilleux.,Boue du Boo,6,615
,8 janvier 2024,Leszak,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Château Ensablé.,Serviette de Plage,6,395
,9 janvier 2024,Stun,Bonus : Objets de qualité,La qualité des objets fabriqués dans la ville de Bonta est augmentée.,Épée Sacrée,1,769
,10 janvier 2024,Trôma,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos roux donnent naissance à un bébé supplémentaire.",Ceinture de Célérité,1,1253
,11 janvier 2024,Ashvey,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Dopeuls.,Miroir de Dopeul,6,1231
,12 janvier 2024,Rojers,Bonus : Minerai abondant,Les quantités d'Argent récupérées par les Mineurs sont augmentées de 125 %.,Argent,30,4200
,13 janvier 2024,Katlestyn,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans les 4 zones des remparts du Château Harebourg et dans la Tour de la Clepsydre.,Bave de Nessil,2,21990
,14 janvier 2024,Guigui,Bonus : Bois abondant,Les quantités de Bois de Tremble récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Tremble,10,10995
,15 janvier 2024,Poupline,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Bworks de Cania.,Botte trouée de Mégabwork,6,4551
,16 janvier 2024,Bubba,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone de la Bordure de Brâkmar.,Relique Familiale,6,1517
,17 janvier 2024,Kia,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Arak-haï.,Glande d'Arak-haï,9,4551
,18 janvier 2024,Yêcetu,Bonus : Pêche abondante,Les quantités de poissons récupérées par les Pêcheurs de tous niveaux sont augmentées de 100 %.,Poisson-Chaton,40,593
,19 janvier 2024,Eskarina,Bonus : Anomalies temporelles,,Pagne d'Alashasss,2,21990
,20 janvier 2024,Inkola,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Rats Brâkmariens.,Poil de Rat Brâkmarien,2,6662
,21 janvier 2024,Magikow,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Alchimistes ont 25 % de chances de créer un second objet.",Bouteille de Gloutoburg,1,11984
,22 janvier 2024,Danizzal,Bonus : Cueillette abondante,Les quantités d'Ortie récupérées par les Alchimistes sont augmentées de 125 %.,Ortie,40,197
,23 janvier 2024,Kestra,Bonus : Forgemagie améliorée,Les Sculptemages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer une arme.,Rune So,2,769
,24 janvier 2024,Shiva,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Clairière du Chêne Mou.,Bourgeon d'Abraknyde Sombre Irascible,2,9741
,25 janvier 2024,Billfer,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone du Cimetière Primitif.,Tibia de Koalak Fossoyeur,5,6662
,26 janvier 2024,Pierrock,Bonus : Bois abondant,Les quantités de Bois de Chêne récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Chêne,40,1187
,27 janvier 2024,Maribri,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Paysans ont 25 % de chances de créer un second objet.",Carasau,4,395
,28 janvier 2024,Koppapi,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Repaire de Sphincter Cell.,Queue de Rat Pine,2,11654
,29 janvier 2024,Krala,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone du Coin des Bouftous.,Laine de Bouftou,6,593
,30 janvier 2024,Lôrf,Bonus : Butin,"Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Bandits, dont les Artisans sombres.",Bourse Suspecte,6,1517
,31 janvier 2024,Teskirf,Bonus : Cueillette abondante,Les quantités de Menthe Sauvage récupérées par les Alchimistes sont augmentées de 125 %.,Menthe Sauvage,40,1187
,1 février 2024,Tolgnas,Bonus : Points d'expérience et butin en larmes,Les gains d'expérience lors des combats contre les monstres et les chances d'obtenir du butin sont augmentés de 50 % pour tous les aventuriers qui sont sous l'influence d'une Idole de Tolgnas.,Blessure du Sacrieur,1,769
